Barcode,Physical Location,Title,Enumeration,Content Type,Filename,Date published,Notes
<dc:identifier>?,<dc:description>,<dc:title>,,<dc:type>,<dc:identifier>,<dc:date.issued>,
123456 (if we have),Cushing,Texas Aggie,v.1:no.1,Text,123456.pdf (DISC to fill in),"YYYY-MM-DD, 1921-05-15",remove before exporting for metadata use
,Cushing,Texas Aggie,v.10:no.45,Text,,1935-10-01,
,Cushing,Texas Aggie,v.10:no.45,Text,,1935-10-15,"2 copies. printed no.45, different date?"
,Cushing,Texas Aggie,v.10:no.46,Text,,1935-11-01,2 copies
,Cushing,Texas Aggie,v.10:no.47,Text,,1935-11-15,2 copies
,Cushing,Texas Aggie,v.10:no.48,Text,,1935-12-01,2 copies
,Cushing,Texas Aggie,v.10:no.49,Text,,1936-01-01,2 copies
,Cushing,Texas Aggie,v.10:no.50,Text,,1936-01-15,2 copies
,Cushing,Texas Aggie,v.10:no.50,Text,,1936-01-15,"printed 49, but marked 50"
,Cushing,Texas Aggie,v.10:no.51,Text,,1936-02-01,2 copies
,Cushing,Texas Aggie,v.10:no.52,Text,,1936-02-15,2 copies
,Cushing,Texas Aggie,v.10:no.53,Text,,1936-03-01,2 copies
,Cushing,Texas Aggie,v.10:no.54,Text,,1936-03-25,
,Cushing,Texas Aggie,v.10:no.55,Text,,1936-04-15,
,Cushing,Texas Aggie,v.10:no.56,Text,,1936-05-15,
,Cushing,Texas Aggie,v.10:no.57,Text,,1936-06-01,2 copies
,Cushing,Texas Aggie,v.10:no.58,Text,,1936-07-01,2 copies
,Cushing,Texas Aggie,v.10:no.59,Text,,1936-08-01,2 copies
,Cushing,Texas Aggie,v.10:no.60,Text,,1936-09-01,2 copies
,Cushing,Texas Aggie,v.10:no.61,Text,,1936-09-15,2 copies
,Cushing,Texas Aggie,v.10:no.62,Text,,1936-10-01,2 copies
,Cushing,Texas Aggie,v.10:no.63,Text,,1936-10-15,
,Cushing,Texas Aggie,v.10:no.64,Text,,1936-11-01,2 copies
,Cushing,Texas Aggie,v.10:no.65,Text,,1936-11-15,2 copies
,Cushing,Texas Aggie,v.10:no.66,Text,,1966-12-01,2 copies
,Cushing,Texas Aggie,v.10:no.67,Text,,1936-12-15,2 copies
,Cushing,Texas Aggie,v.10:no.68,Text,,1937-01-01,
,Cushing,Texas Aggie,v.10:no.69,Text,,1937-01-25,2 copies
,Cushing,Texas Aggie,v.10:no.70,Text,,1937-02-15,2 copies
,Cushing,Texas Aggie,v.10:no.71,Text,,1937-03-01,
,Cushing,Texas Aggie,v.10:no.72,Text,,1937-03-15,2 copies
,Cushing,Texas Aggie,v.10:no.73,Text,,1937-04-01,2 copies
,Cushing,Texas Aggie,v.10:no.74,Text,,1937-04-15,
,Cushing,Texas Aggie,v.10:no.75,Text,,1937-05-01,2 copies
,Cushing,Texas Aggie,v.10:no.76,Text,,1937-05-15,2 copies
,Cushing,Texas Aggie,v.10:no.77,Text,,1937-06-15,2 copies
,Cushing,Texas Aggie,v.10:no.78,Text,,1937-07-01,2 copies
,Cushing,Texas Aggie,v.10:no.79,Text,,1937-08-01,
,Cushing,Texas Aggie,v.10:no.80,Text,,1937-09-01,
,Cushing,Texas Aggie,v.10:no.81,Text,,1937-09-15,
,Cushing,Texas Aggie,v.10:no.82,Text,,1937-10-01,
,Cushing,Texas Aggie,v.10:no.83,Text,,1937-11-01,2 copies
,Cushing,Texas Aggie,v.10:no.84,Text,,1937-11-15,2 copies
,Cushing,Texas Aggie,v.10:no.85,Text,,1937-12-01,
,Cushing,Texas Aggie,v.10:no.85,Text,,1937-12-01,
,Cushing,Texas Aggie,v.10:no.86,Text,,1937-12-15,2 copies. end box 1
,Cushing,Texas Aggie,v.10:no.87,Text,,1938-01-15,start box 2
,Cushing,Texas Aggie,v.11:no.3,Text,,1938-02-01,2 copies
,Cushing,Texas Aggie,v.11:no.4,Text,,1938-02-15,
,Cushing,Texas Aggie,v.11:no.5,Text,,1938-03-01,
,Cushing,Texas Aggie,v.11:no.6,Text,,1938-03-15,
,Cushing,Texas Aggie,v.11:no.7,Text,,1938-04-01,
,Cushing,Texas Aggie,v.11:no.8,Text,,1938-04-15,
,Cushing,Texas Aggie,v.11:no.9,Text,,1938-04-28,2 copies
,Cushing,Texas Aggie,v.11:no.10,Text,,1938-05-12,
,Cushing,Texas Aggie,v.11:no.11,Text,,1938-06-01,
,Cushing,Texas Aggie,v.11:no.11,Text,,1938-07-01,"also no.11, different date"
,Cushing,Texas Aggie,v.11:no.12,Text,,1938-08-01,2 copies
,Cushing,Texas Aggie,v.11:no.13,Text,,1938-09-01,
,Cushing,Texas Aggie,v.11:no.14,Text,,1938-09-15,
,Cushing,Texas Aggie,v.11:no.15,Text,,1938-10-01,
,Cushing,Texas Aggie,v.11:no.16,Text,,1938-10-15,
,Cushing,Texas Aggie,v.11:no.17,Text,,1938-11-01,
,Cushing,Texas Aggie,v.11:no.18,Text,,1938-11-15,
,Cushing,Texas Aggie,v.11:no.18,Text,,1938-12-01,2 copies
,Cushing,Texas Aggie,v.11:no.19,Text,,1938-12-15,2 copies
,Cushing,Texas Aggie,v.11:no.20,Text,,1939-01-20,2 copies
,Cushing,Texas Aggie,v.11:no.21,Text,,1939-02-15,2 copies. 1 printed as no. 22
,Cushing,Texas Aggie,v.11:no.22,Text,,1939-03-01,2 copies
,Cushing,Texas Aggie,v.11:no.23,Text,,1939-03-15,2 copies
,Cushing,Texas Aggie,v.11:no.24,Text,,1939-04-01,
,Cushing,Texas Aggie,v.11:no.25,Text,,1939-04-15,3 copies
,Cushing,Texas Aggie,v.11:no.26,Text,,1939-05-01,
,Cushing,Texas Aggie,v.11:no.27,Text,,1939-05-15,2 copies
,Cushing,Texas Aggie,v.11:no.27,Text,,1939-06-10,"2 copies. printed no. 27, different date."
,Cushing,Texas Aggie,v.11:no.28,Text,,1939-07-01,2 copies
,Cushing,Texas Aggie,v.11:no.29,Text,,1939-08-08,2 copies
,Cushing,Texas Aggie,v.11:no.30,Text,,1939-09-05,2 copies
,Cushing,Texas Aggie,v.11:no.31,Text,,1939-09-22,2 copies
,Cushing,Texas Aggie,v.11:no.32,Text,,1939-10-02,2 copies
,Cushing,Texas Aggie,v.11:no.33,Text,,1939-10-18,2 copies
,Cushing,Texas Aggie,v.11:no.34,Text,,1939-11-01,2 copies
,Cushing,Texas Aggie,v.11:no.35,Text,,1939-11-15,2 copies
,Cushing,Texas Aggie,v.11:no.36,Text,,1939-12-06,6 copies
,Cushing,Texas Aggie,v.11:no.37,Text,,1939-12-18,2 copies
,Cushing,Texas Aggie,v.11:no.1,Text,,1940-01-15,2 copies. starting over with v.11? but next year.
,Cushing,Texas Aggie,v.11:no.2,Text,,1940-02-01,2 copies
,Cushing,Texas Aggie,v.11:no.3,Text,,1940-02-15,3 copies
,Cushing,Texas Aggie,v.11:no.4,Text,,1940-03-01,2 copies
,Cushing,Texas Aggie,v.11:no.5,Text,,1940-03-15,2 copies
,Cushing,Texas Aggie,v.11:no.6,Text,,1940-04-01,2 copies
,Cushing,Texas Aggie,v.11:no.7,Text,,1940-04-15,2 copies
,Cushing,Texas Aggie,v.11:no.8,Text,,1940-05-01,2 copies
,Cushing,Texas Aggie,v.11:no.9,Text,,1940-05-15,2 copies
,Cushing,Texas Aggie,v.11:no.9,Text,,1940-06-10,"4 copies. printed no.9, different date."
,Cushing,Texas Aggie,v.11:no.10,Text,,1940-07-15,3 copies
,Cushing,Texas Aggie,v.11:no.11,Text,,1940-08-15,3 copies
,Cushing,Texas Aggie,v.11:no.13,Text,,1940-10-01,3 copies
,Cushing,Texas Aggie,v.11:no.14,Text,,1940-10-15,3 copies
,Cushing,Texas Aggie,v.11:no.15,Text,,1940-11-01,2 copies
,Cushing,Texas Aggie,v.11:no.1,Text,,1940-11-15,2 copies. starting v.11 over again???
,Cushing,Texas Aggie,v.11:no.2,Text,,1940-12-02,2 copies
,Cushing,Texas Aggie,v.11:no.3,Text,,1940-12-20,2 copies
,Cushing,Texas Aggie,v.12:no.1,Text,,1941-01-15,
,Cushing,Texas Aggie,v.12:no.2,Text,,1941-02-01,
,Cushing,Texas Aggie,v.12:no.3,Text,,1941-02-15,
,Cushing,Texas Aggie,v.12:no.4,Text,,1941-03-01,
,Cushing,Texas Aggie,v.12:no.5,Text,,1941-03-15,
,Cushing,Texas Aggie,v.12:no.6,Text,,1941-03-29,
,Cushing,Texas Aggie,v.12:no.7,Text,,1941-04-17,
,Cushing,Texas Aggie,v.12:no.8,Text,,1941-05-02,3 copies
,Cushing,Texas Aggie,v.12:no.9,Text,,1941-05-16,
,Cushing,Texas Aggie,v.12:no.10,Text,,1941-06-16,
,Cushing,Texas Aggie,v.12:no.11,Text,,1941-07-21,"2 copies. 1 copy is incomplete, p.3/4 only"
,Cushing,Texas Aggie,v.12:no.12,Text,,1941-08-20,2 copies
,Cushing,Texas Aggie,v.12:no.13,Text,,1941-09-15,
,Cushing,Texas Aggie,v.12:no.14,Text,,1941-10-01,
,Cushing,Texas Aggie,v.12:no.15,Text,,1941-10-15,2 copies
,Cushing,Texas Aggie,v.12:no.16,Text,,1941-11-01,
,Cushing,Texas Aggie,v.12:no.17,Text,,1941-11-17,
,Cushing,Texas Aggie,v.12:no.18,Text,,1941-12-05,
,Cushing,Texas Aggie,v.12:no.19,Text,,1942-01-10,
,Cushing,Texas Aggie,v.12:no.20,Text,,1942-01-31,
,Cushing,Texas Aggie,v.12:no.21,Text,,1942-02-20,
,Cushing,Texas Aggie,v.12:no.22,Text,,1942-03-06,
,Cushing,Texas Aggie,v.12:no.23,Text,,1942-03-20,
,Cushing,Texas Aggie,v.12:no.24,Text,,1942-04-02,
,Cushing,Texas Aggie,v.12:no.25,Text,,1942-04-22,
,Cushing,Texas Aggie,v.12:no.26,Text,,1942-05-05,3 copies
,Cushing,Texas Aggie,v.12:no.27,Text,,1942-05-25,
,Cushing,Texas Aggie,v.12:no.28,Text,,1942-06-15,
,Cushing,Texas Aggie,v.12:no.29,Text,,1942-07-09,2 copies
,Cushing,Texas Aggie,v.12:no.30,Text,,1942-08-20,2 copies
,Cushing,Texas Aggie,v.12:no.31,Text,,1942-09-15,2 copies
,Cushing,Texas Aggie,v.12:no.32,Text,,1942-10-05,2 copies
,Cushing,Texas Aggie,v.12:no.33,Text,,1942-10-15,2 copies
,Cushing,Texas Aggie,v.12:no.34,Text,,1942-11-06,2 copies
,Cushing,Texas Aggie,v.12:no.35,Text,,1942-11-20,2 copies
,Cushing,Texas Aggie,v.12:no.36,Text,,1942-12-14,2 copies
,Cushing,Texas Aggie,v.12:no.37,Text,,1943-01-05,4 copies
,Cushing,Texas Aggie,v.12:no.38,Text,,1943-01-18,
,Cushing,Texas Aggie,v.12:no.39,Text,,1943-02-08,
,Cushing,Texas Aggie,v.12:no.40,Text,,1943-02-18,2 copies
